movement, velocity, acc, jerk, ci, weight,evaluatedjoint, pivot
Plie,0.0,0,0.0,0.89,0.0,hip right,knee right
Back from Plie,0.0,0,0.0,0.89,0.0,hip right,knee right
Back from Plie,33.36162604021948,31,444.12,0.88,1.11,hip right,knee right
Back from Plie,33.36162604021948,31,444.12,0.88,1.11,hip right,knee right
Back from Plie,42.44025720054536,53,1107.23,0.88,1.8,hip right,knee right
Back from Plie,42.44025720054536,53,1107.23,0.87,1.8,hip right,knee right
Back from Plie,10.41731995939321,4,176.08,0.87,0.11,hip right,knee right
Back from Plie,10.41731995939321,4,176.08,0.87,0.11,hip right,knee right
Back from Plie,0.0,0,26.27,0.87,0.0,hip right,knee right
Back from Plie,0.0,0,26.27,0.87,0.0,hip right,knee right
Back from Plie,0.0,0,0.0,0.87,0.0,hip right,knee right
Back from Plie,0.0,0,0.0,0.87,0.0,hip right,knee right
Releve,34.54649087983822,69,1381.66,0.88,1.19,hip right,knee right
Releve,34.54649087983822,69,1381.66,0.88,1.19,hip right,knee right
Releve,34.54649087983822,69,1381.66,0.88,1.19,hip right,knee right
Releve,0.0,0,0.0,0.88,0.0,hip right,knee right
Releve,0.0,0,0.0,0.88,0.0,hip right,knee right
Releve,0.0,0,0.0,0.88,0.0,hip right,knee right
Releve,0.0,0,0.0,0.88,0.0,hip right,knee right
Releve,0.0,0,0.0,0.88,0.0,hip right,knee right
Releve,0.0,0,0.0,0.88,0.0,hip right,knee right
Releve,0.0,0,0.0,0.88,0.0,hip right,knee right
Releve,0.0,0,0.0,0.88,0.0,hip right,knee right
Releve,0.0,0,0.0,0.88,0.0,hip right,knee right
Releve,0.0,0,0.0,0.88,0.0,hip right,knee right
Releve,0.0,0,0.0,0.88,0.0,hip right,knee right
Releve,0.0,0,0.0,0.88,0.0,hip right,knee right
Releve,0.0,0,0.0,0.88,0.0,hip right,knee right
Releve,0.0,0,0.0,0.88,0.0,hip right,knee right
Releve,0.0,0,0.0,0.88,0.0,hip right,knee right
Releve,0.0,0,0.0,0.88,0.0,hip right,knee right
Releve,0.0,0,0.0,0.88,0.0,hip right,knee right
Releve,0.0,0,0.0,0.88,0.0,hip right,knee right
Releve,0.0,0,0.0,0.88,0.0,hip right,knee right
Releve,0.0,0,0.0,0.88,0.0,hip right,knee right
Releve,0.0,0,0.0,0.88,0.0,hip right,knee right
Releve,0.0,0,0.0,0.88,0.0,hip right,knee right
Releve,0.0,0,0.0,0.88,0.0,hip right,knee right
Releve,0.0,0,0.0,0.88,0.0,hip right,knee right
Releve,0.0,0,0.0,0.88,0.0,hip right,knee right
Releve,0.0,0,0.0,0.88,0.0,hip right,knee right
Releve,0.0,0,0.0,0.88,0.0,hip right,knee right
Releve,0.0,0,0.0,0.88,0.0,hip right,knee right
Releve,0.0,0,0.0,0.88,0.0,hip right,knee right
Releve,0.0,0,0.0,0.88,0.0,hip right,knee right
Releve,0.0,0,0.0,0.88,0.0,hip right,knee right
Releve,0.0,0,0.0,0.88,0.0,hip right,knee right
Releve,0.0,0,0.0,0.88,0.0,hip right,knee right
Releve,0.0,0,0.0,0.88,0.0,hip right,knee right
Releve,0.0,0,0.0,0.88,0.0,hip right,knee right
Releve,0.0,0,0.0,0.88,0.0,hip right,knee right
Releve,0.0,0,0.0,0.88,0.0,hip right,knee right
Releve,0.0,0,0.0,0.88,0.0,hip right,knee right
Releve,0.0,0,0.0,0.88,0.0,hip right,knee right
Releve,0.0,0,0.0,0.88,0.0,hip right,knee right
Releve,0.0,0,0.0,0.88,0.0,hip right,knee right
Releve,0.0,0,0.0,0.88,0.0,hip right,knee right
Releve,0.0,0,0.0,0.88,0.0,hip right,knee right
Releve,0.0,0,0.0,0.88,0.0,hip right,knee right
Releve,0.0,0,0.0,0.88,0.0,hip right,knee right
Releve,0.0,0,0.0,0.88,0.0,hip right,knee right
Releve,0.0,0,0.0,0.88,0.0,hip right,knee right
Releve,0.0,0,0.0,0.88,0.0,hip right,knee right
