timestamp, velUL, velUR, velKL, velKR, velHL, velHR,accUL, accUR, accKL, accKR, accHL, accHR,jerUL, jerUR, jerKL, jerKR, jerHL, jerHR,weiUL, weiUR, weiKL, weiKR, weiHL, weiHR,CI
20:06.4,5,4,1,1,5,4,28.7878,23.9865,28.9652,20.3585,104.834,193.4855,37.5501,21.0767,56.4878,32.7937,269.9799,298.4338,25,16,1,1,25,16,0.99
20:06.5,9,4,1,1,7,1,30.393,15.396,18.775,6.6885,65.5921,25.306,61.3217,25.5203,101.8389,34.4414,323.1563,354.4076,81,16,1,1,49,1,0.99
20:06.5,6,6,2,3,11,6,31.7184,18.387,22.9513,9.1238,36.9568,32.5476,89.242,49.4125,74.0887,43.9935,108.3554,317.0294,36,36,4,9,121,36,0.99
20:06.6,3,4,2,3,13,12,18.9111,25.594,18.9705,10.2856,140.9382,47.8215,64.4867,45.5004,27.1413,24.0573,305.8555,109.1649,9,16,4,9,169,144,0.99
20:06.6,1,1,2,1,26,5,10.3316,19.1074,15.3109,15.6729,86.4077,46.0403,41.6616,56.1386,56.9611,36.8652,183.8859,117.4089,1,1,4,1,676,25,0.99
20:06.7,2,3,2,0,4,0,15.5677,19.7353,19.7554,4.2233,169.8114,37.1921,42.6114,19.2562,48.9387,20.4504,465.8202,127.4029,4,9,4,0,16,0,0.99
20:06.7,4,3,7,3,54,14,27.6665,11.9055,43.2223,21.5465,309.0484,82.6018,42.7816,13.6446,44.3208,34.394,591.2001,131.211,16,9,49,9,2916,196,0.99
20:06.8,1,3,6,3,30,8,19.4969,13.7601,40.0325,3.8,230.2122,35.0952,44.7933,35.4497,45.0391,10.649,591.5809,100.2924,1,9,36,9,900,64,0.99
20:06.8,0,2,11,2,13,5,6.8329,9.3836,28.6939,7.6749,163.9313,43.5095,50.8087,19.6488,75.4781,39.6712,698.4664,183.1851,0,4,121,4,169,25,0.99
20:06.9,0,3,5,0,6,1,4.1492,4.9066,41.0025,17.5906,73.7739,34.3281,24.2678,21.796,91.9052,28.1155,409.188,67.9378,0,9,25,0,36,1,0.99
20:06.9,0,0,3,1,4,1,5.6964,14.0713,27.0506,7.5897,43.0512,6.1717,17.4916,19.4786,81.2313,20.2607,262.7714,68.94,0,0,9,1,16,1,0.99
20:06.9,0,0,5,1,46,18,7.4374,6.3723,24.4055,8.3718,255.4751,114.4622,13.4186,15.294,62.0388,32.6937,401.2083,180.9605,0,0,25,1,2116,324,0.99
20:07.0,5,3,2,2,2,4,31.0683,23.3655,32.8215,13.8431,284.2378,116.3162,38.7707,55.2397,66.8123,25.063,422.8141,169.6326,25,9,4,4,4,16,0.99
20:07.0,9,2,8,7,46,15,25.2107,18.8898,47.6873,32.9213,277.7493,79.2202,46.1327,23.3583,76.7855,45.2459,790.7944,285.7247,81,4,64,49,2116,225,0.99
20:07.1,9,8,1,5,21,13,7.5707,36.4617,42.8703,16.0198,170.919,25.9146,42.3526,36.0799,97.403,44.1189,682.6704,200.5757,81,64,1,25,441,169,0.99
20:07.1,6,9,6,3,4,3,20.8044,28.5296,29.2136,15.1199,128.993,63.8524,63.979,52.0961,28.947,71.1127,608.2796,214.5581,36,81,36,9,16,9,0.99
20:07.2,2,4,6,3,12,8,31.2225,32.0578,6.1406,9.2566,59.5923,58.6082,48.4502,100.3516,63.2212,18.8416,175.9151,80.4502,4,16,36,9,144,64,0.99
20:07.3,1,3,6,3,3,2,9.0054,20.6275,17.2784,6.8835,71.7099,43.5647,27.9386,71.4191,60.3376,32.6285,297.0415,159.1151,1,9,36,9,9,4,0.99
20:07.3,1,1,10,1,6,2,2.6728,16.1007,27.4459,13.9961,36.2315,25.528,48.0133,26.481,37.0455,18.1464,140.0569,118.5846,1,1,100,1,36,4,0.99
20:07.4,0,0,15,8,70,7,6.0867,2.5173,58.2522,39.0924,398.0555,29.2123,13.9286,31.2122,103.3439,63.2697,495.113,26.0248,0,0,225,64,4900,49,0.99
20:07.4,0,3,12,1,21,8,2.946,23.0325,29.8959,39.8434,299.1438,8.9187,2.1305,47.4542,51.3224,53.3946,490.4148,25.2367,0,9,144,1,441,64,0.99
20:07.5,2,1,6,8,21,1,14.7078,22.3966,92.6865,42.4924,51.879,54.2512,30.1727,34.7353,190.4498,7.4587,594.4144,124.6572,4,1,36,64,441,1,0.99
20:07.5,0,3,4,0,14,2,11.7458,23.0666,38.3841,53.4907,217.2124,10.4909,16.4515,9.6252,65.7045,21.1808,125.3616,9.1164,0,9,16,0,196,4,0.99
20:07.6,2,1,6,1,13,5,13.4354,14.5886,50.1092,4.0226,60.9179,30.2102,31.0954,19.0761,66.192,67.9965,45.7506,85.8215,4,1,36,1,169,25,0.99
20:07.6,2,0,16,11,80,5,4.9841,9.3609,66.3174,62.731,421.1923,25.1464,18.0547,48.6223,127.5803,15.9293,309.1402,45.6974,4,0,256,121,6400,25,0.99
20:07.6,2,0,5,4,38,7,1.724,1.4485,64.9969,42.3701,257.6898,18.9653,21.3528,23.8951,164.828,68.0136,354.0304,64.2661,4,0,25,16,1444,49,0.99
20:07.7,5,0,18,7,32,11,31.5807,3.5472,74.3979,18.2481,43.1257,33.5372,48.0735,9.2422,52.3821,68.2595,694.25,14.1297,25,0,324,49,1024,121,0.99
20:07.7,6,1,15,2,7,8,45.6607,8.7633,18.6852,35.2636,158.7381,19.5635,67.5907,12.104,70.6898,12.3947,156.6192,52.8418,36,1,225,4,49,64,0.99
20:07.8,9,1,5,3,11,3,21.4991,1.9457,60.699,13.9158,37.8862,34.1719,49.0123,7.9046,202.5075,19.7708,119.1181,100.5716,81,1,25,9,121,9,0.99
20:07.9,4,3,9,3,2,10,29.0487,16.8678,37.7009,14.37,72.5252,44.2531,107.1369,19.9079,76.3732,36.2588,130.9877,93.615,16,9,81,9,4,100,0.99
20:07.9,2,1,2,4,13,8,17.3217,16.3905,62.0338,13.9305,93.3848,11.8715,55.3299,24.1599,39.9188,9.5804,87.4446,34.23,4,1,4,16,169,64,0.99
20:07.9,1,3,4,4,1,5,12.0107,14.7854,24.7012,12.5366,75.9656,34.5434,32.9975,28.7937,28.8047,11.1726,40.2844,111.89,1,9,16,16,1,25,0.99
20:08.0,3,1,6,9,17,12,16.7112,14.8566,12.8725,33.6225,98.1351,48.8482,19.2757,26.6812,96.6474,51.2936,137.3424,71.0487,9,1,36,81,289,144,0.99
20:08.0,2,0,8,4,23,6,5.2646,7.2658,10.907,28.2965,63.9,57.8579,13.7786,25.3626,24.812,49.229,203.058,129.1881,4,0,64,16,529,36,1
20:08.1,14,3,12,2,26,13,73.1189,22.4474,40.4515,16.0124,68.9241,56.1099,87.2347,21.525,53.8648,73.4453,211.4021,141.1613,196,9,144,4,676,169,0.99
20:08.1,25,17,30,9,6,6,81.1293,93.7989,109.4557,42.4177,117.7793,101.6566,126.7877,143.3011,153.7,98.0415,266.063,220.824,625,289,900,81,36,36,0.99
20:08.2,10,5,13,2,10,1,91.2562,77.059,120.9334,42.1768,28.0385,40.9784,242.4652,144.4497,218.6994,48.9037,63.9717,43.5823,100,25,169,4,100,1,0.99
20:08.2,2,2,4,0,4,7,46.1012,14.4189,56.8171,13.2209,37.5093,36.6337,187.2756,161.8394,239.9922,83.2469,142.6675,205.0806,4,4,16,0,16,49,0.99
20:08.3,2,2,2,1,7,1,8.4063,21.9249,29.3758,9.8702,66.6216,52.8806,130.7499,92.7934,172.8842,76.7431,124.7336,127.3828,4,4,4,1,49,1,0.99
20:08.3,1,1,3,0,5,1,16.1593,16.8213,8.5727,4.4096,11.2248,3.5418,65.8969,39.8657,93.9228,13.6377,70.5825,55.9909,1,1,9,0,25,1,0.99
